ReportingPeriodID,Period,FiscalYear,FiscalMonth
20130101,1,2013,Jan
20130102,1,2013,Jan
20130103,1,2013,Jan
20130104,1,2013,Jan
20130105,1,2013,Jan
20130106,1,2013,Jan
20130107,1,2013,Jan
20130108,1,2013,Jan
20130109,1,2013,Jan
20130110,1,2013,Jan
20130111,1,2013,Jan
20130112,1,2013,Jan
20130113,1,2013,Jan
20130114,1,2013,Jan
20130115,1,2013,Jan
20130116,1,2013,Jan
20130117,1,2013,Jan
20130118,1,2013,Jan
20130119,1,2013,Jan
20130120,1,2013,Jan
20130121,1,2013,Jan
20130122,1,2013,Jan
20130123,1,2013,Jan
20130124,1,2013,Jan
20130125,1,2013,Jan
20130126,1,2013,Jan
20130127,1,2013,Jan
20130128,1,2013,Jan
20130129,1,2013,Jan
20130130,1,2013,Jan
20130131,1,2013,Jan
20130201,2,2013,Feb
20130202,2,2013,Feb
20130203,2,2013,Feb
20130204,2,2013,Feb
20130205,2,2013,Feb
20130206,2,2013,Feb
20130207,2,2013,Feb
20130208,2,2013,Feb
20130209,2,2013,Feb
20130210,2,2013,Feb
20130211,2,2013,Feb
20130212,2,2013,Feb
20130213,2,2013,Feb
20130214,2,2013,Feb
20130215,2,2013,Feb
20130216,2,2013,Feb
20130217,2,2013,Feb
20130218,2,2013,Feb
20130219,2,2013,Feb
20130220,2,2013,Feb
20130221,2,2013,Feb
20130222,2,2013,Feb
20130223,2,2013,Feb
20130224,2,2013,Feb
20130225,2,2013,Feb
20130226,2,2013,Feb
20130227,2,2013,Feb
20130228,2,2013,Feb
20130301,3,2013,Mar
20130302,3,2013,Mar
20130303,3,2013,Mar
20130304,3,2013,Mar
20130305,3,2013,Mar
20130306,3,2013,Mar
20130307,3,2013,Mar
20130308,3,2013,Mar
20130309,3,2013,Mar
20130310,3,2013,Mar
20130311,3,2013,Mar
20130312,3,2013,Mar
20130313,3,2013,Mar
20130314,3,2013,Mar
20130315,3,2013,Mar
20130316,3,2013,Mar
20130317,3,2013,Mar
20130318,3,2013,Mar
20130319,3,2013,Mar
20130320,3,2013,Mar
20130321,3,2013,Mar
20130322,3,2013,Mar
20130323,3,2013,Mar
20130324,3,2013,Mar
20130325,3,2013,Mar
20130326,3,2013,Mar
20130327,3,2013,Mar
20130328,3,2013,Mar
20130329,3,2013,Mar
20130330,3,2013,Mar
20130331,3,2013,Mar
20130401,4,2013,Apr
20130402,4,2013,Apr
20130403,4,2013,Apr
20130404,4,2013,Apr
20130405,4,2013,Apr
20130406,4,2013,Apr
20130407,4,2013,Apr
20130408,4,2013,Apr
20130409,4,2013,Apr
20130410,4,2013,Apr
20130411,4,2013,Apr
20130412,4,2013,Apr
20130413,4,2013,Apr
20130414,4,2013,Apr
20130415,4,2013,Apr
20130416,4,2013,Apr
20130417,4,2013,Apr
20130418,4,2013,Apr
20130419,4,2013,Apr
20130420,4,2013,Apr
20130421,4,2013,Apr
20130422,4,2013,Apr
20130423,4,2013,Apr
20130424,4,2013,Apr
20130425,4,2013,Apr
20130426,4,2013,Apr
20130427,4,2013,Apr
20130428,4,2013,Apr
20130429,4,2013,Apr
20130430,4,2013,Apr
20130501,5,2013,May
20130502,5,2013,May
20130503,5,2013,May
20130504,5,2013,May
20130505,5,2013,May
20130506,5,2013,May
20130507,5,2013,May
20130508,5,2013,May
20130509,5,2013,May
20130510,5,2013,May
20130511,5,2013,May
20130512,5,2013,May
20130513,5,2013,May
20130514,5,2013,May
20130515,5,2013,May
20130516,5,2013,May
20130517,5,2013,May
20130518,5,2013,May
20130519,5,2013,May
20130520,5,2013,May
20130521,5,2013,May
20130522,5,2013,May
20130523,5,2013,May
20130524,5,2013,May
20130525,5,2013,May
20130526,5,2013,May
20130527,5,2013,May
20130528,5,2013,May
20130529,5,2013,May
20130530,5,2013,May
20130531,5,2013,May
20130601,6,2013,Jun
20130602,6,2013,Jun
20130603,6,2013,Jun
20130604,6,2013,Jun
20130605,6,2013,Jun
20130606,6,2013,Jun
20130607,6,2013,Jun
20130608,6,2013,Jun
20130609,6,2013,Jun
20130610,6,2013,Jun
20130611,6,2013,Jun
20130612,6,2013,Jun
20130613,6,2013,Jun
20130614,6,2013,Jun
20130615,6,2013,Jun
20130616,6,2013,Jun
20130617,6,2013,Jun
20130618,6,2013,Jun
20130619,6,2013,Jun
20130620,6,2013,Jun
20130621,6,2013,Jun
20130622,6,2013,Jun
20130623,6,2013,Jun
20130624,6,2013,Jun
20130625,6,2013,Jun
20130626,6,2013,Jun
20130627,6,2013,Jun
20130628,6,2013,Jun
20130629,6,2013,Jun
20130630,6,2013,Jun
20130701,7,2013,Jul
20130702,7,2013,Jul
20130703,7,2013,Jul
20130704,7,2013,Jul
20130705,7,2013,Jul
20130706,7,2013,Jul
20130707,7,2013,Jul
20130708,7,2013,Jul
20130709,7,2013,Jul
20130710,7,2013,Jul
20130711,7,2013,Jul
20130712,7,2013,Jul
20130713,7,2013,Jul
20130714,7,2013,Jul
20130715,7,2013,Jul
20130716,7,2013,Jul
20130717,7,2013,Jul
20130718,7,2013,Jul
20130719,7,2013,Jul
20130720,7,2013,Jul
20130721,7,2013,Jul
20130722,7,2013,Jul
20130723,7,2013,Jul
20130724,7,2013,Jul
20130725,7,2013,Jul
20130726,7,2013,Jul
20130727,7,2013,Jul
20130728,7,2013,Jul
20130729,7,2013,Jul
20130730,7,2013,Jul
20130731,7,2013,Jul
20130801,8,2013,Aug
20130802,8,2013,Aug
20130803,8,2013,Aug
20130804,8,2013,Aug
20130805,8,2013,Aug
20130806,8,2013,Aug
20130807,8,2013,Aug
20130808,8,2013,Aug
20130809,8,2013,Aug
20130810,8,2013,Aug
20130811,8,2013,Aug
20130812,8,2013,Aug
20130813,8,2013,Aug
20130814,8,2013,Aug
20130815,8,2013,Aug
20130816,8,2013,Aug
20130817,8,2013,Aug
20130818,8,2013,Aug
20130819,8,2013,Aug
20130820,8,2013,Aug
20130821,8,2013,Aug
20130822,8,2013,Aug
20130823,8,2013,Aug
20130824,8,2013,Aug
20130825,8,2013,Aug
20130826,8,2013,Aug
20130827,8,2013,Aug
20130828,8,2013,Aug
20130829,8,2013,Aug
20130830,8,2013,Aug
20130831,8,2013,Aug
20130901,9,2013,Sep
20130902,9,2013,Sep
20130903,9,2013,Sep
20130904,9,2013,Sep
20130905,9,2013,Sep
20130906,9,2013,Sep
20130907,9,2013,Sep
20130908,9,2013,Sep
20130909,9,2013,Sep
20130910,9,2013,Sep
20130911,9,2013,Sep
20130912,9,2013,Sep
20130913,9,2013,Sep
20130914,9,2013,Sep
20130915,9,2013,Sep
20130916,9,2013,Sep
20130917,9,2013,Sep
20130918,9,2013,Sep
20130919,9,2013,Sep
20130920,9,2013,Sep
20130921,9,2013,Sep
20130922,9,2013,Sep
20130923,9,2013,Sep
20130924,9,2013,Sep
20130925,9,2013,Sep
20130926,9,2013,Sep
20130927,9,2013,Sep
20130928,9,2013,Sep
20130929,9,2013,Sep
20130930,9,2013,Sep
20131001,10,2013,Oct
20131002,10,2013,Oct
20131003,10,2013,Oct
